i,S,V,Ip,Im,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90),,i,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,,,,,,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,Im(e1 = e2 = 0.10),Im(e1 = e2 = 0.50),Im(e1 = e2 = 0.90)
,,,,,,,,,,,4.10E-07,1.81E-08,8.53E-09,,,,,,,4.10E-07,1.81E-08,8.53E-09,,,,
,,,,,,,,,,,3.44E-07,1.57E-08,7.38E-09,,,,,,,3.44E-07,1.57E-08,7.38E-09,,,,
,,,,,,,,,,,2.89E-07,1.36E-08,6.39E-09,,,,,,,2.89E-07,1.36E-08,6.39E-09,,,,
,,,,,,,,,,,2.43E-07,1.17E-08,5.53E-09,,,,,,,2.43E-07,1.17E-08,5.53E-09,,,,
,,,,,,,,,,,2.04E-07,1.01E-08,4.78E-09,,,,,,,2.04E-07,1.01E-08,4.78E-09,,,,
,,,,,,,,,,,1.71E-07,8.76E-09,4.14E-09,,,,,,,1.71E-07,8.76E-09,4.14E-09,,,,
,,,,,,,,,,,1.44E-07,7.58E-09,3.58E-09,,,,,,,1.44E-07,7.58E-09,3.58E-09,,,,
,,,,,,,,,,,1.21E-07,6.55E-09,3.10E-09,,,,,,,1.21E-07,6.55E-09,3.10E-09,,,,
,,,,,,,,,,,1.02E-07,5.67E-09,2.68E-09,,,,,,,1.02E-07,5.67E-09,2.68E-09,,,,
,,,,,,,,,,,8.54E-08,4.90E-09,2.32E-09,,,,,,,8.54E-08,4.90E-09,2.32E-09,,,,
,,,,,,,,,,,7.18E-08,4.24E-09,2.01E-09,,,,,,,7.18E-08,4.24E-09,2.01E-09,,,,
,,,,,,,,,,,6.03E-08,3.66E-09,1.74E-09,,,,,,,6.03E-08,3.66E-09,1.74E-09,,,,
,,,,,,,,,,,5.07E-08,3.17E-09,1.51E-09,,,,,,,5.07E-08,3.17E-09,1.51E-09,,,,
,,,,,,,,,,,4.26E-08,2.74E-09,1.30E-09,,,,,,,4.26E-08,2.74E-09,1.30E-09,,,,
,,,,,,,,,,,3.58E-08,2.37E-09,1.13E-09,,,,,,,3.58E-08,2.37E-09,1.13E-09,,,,
,,,,,,,,,,,3.00E-08,2.05E-09,9.76E-10,,,,,,,3.00E-08,2.05E-09,9.76E-10,,,,
,,,,,,,,,,,2.52E-08,1.77E-09,8.45E-10,,,,,,,2.52E-08,1.77E-09,8.45E-10,,,,
,,,,,,,,,,,2.12E-08,1.53E-09,7.31E-10,,,,,,,2.12E-08,1.53E-09,7.31E-10,,,,
,,,,,,,,,,,1.78E-08,1.33E-09,6.33E-10,,,,,,,1.78E-08,1.33E-09,6.33E-10,,,,
,,,,,,,,,,,1.50E-08,1.15E-09,5.48E-10,,,,,,,1.50E-08,1.15E-09,5.48E-10,,,,
,,,,,,,,,,,1.26E-08,9.91E-10,4.74E-10,,,,,,,1.26E-08,9.91E-10,4.74E-10,,,,
,,,,,,,,,,,1.06E-08,8.57E-10,4.10E-10,,,,,,,1.06E-08,8.57E-10,4.10E-10,,,,
,,,,,,,,,,,8.87E-09,7.41E-10,3.55E-10,,,,,,,8.87E-09,7.41E-10,3.55E-10,,,,
,,,,,,,,,,,7.45E-09,6.41E-10,3.07E-10,,,,,,,7.45E-09,6.41E-10,3.07E-10,,,,
,,,,,,,,,,,6.26E-09,5.54E-10,2.66E-10,,,,,,,6.26E-09,5.54E-10,2.66E-10,,,,
,,,,,,,,,,,5.26E-09,4.79E-10,2.30E-10,,,,,,,5.26E-09,4.79E-10,2.30E-10,,,,
,,,,,,,,,,,4.42E-09,4.14E-10,1.99E-10,,,,,,,4.42E-09,4.14E-10,1.99E-10,,,,
,,,,,,,,,,,3.71E-09,3.58E-10,1.72E-10,,,,,,,3.71E-09,3.58E-10,1.72E-10,,,,
,,,,,,,,,,,3.12E-09,3.10E-10,1.49E-10,,,,,,,3.12E-09,3.10E-10,1.49E-10,,,,
,,,,,,,,,,,2.62E-09,2.68E-10,1.29E-10,,,,,,,2.62E-09,2.68E-10,1.29E-10,,,,
,,,,,,,,,,,2.20E-09,2.32E-10,1.12E-10,,,,,,,2.20E-09,2.32E-10,1.12E-10,,,,
,,,,,,,,,,,1.85E-09,2.00E-10,9.67E-11,,,,,,,1.85E-09,2.00E-10,9.67E-11,,,,
,,,,,,,,,,,1.55E-09,1.73E-10,8.37E-11,,,,,,,1.55E-09,1.73E-10,8.37E-11,,,,
,,,,,,,,,,,1.31E-09,1.50E-10,7.24E-11,,,,,,,1.31E-09,1.50E-10,7.24E-11,,,,
,,,,,,,,,,,1.10E-09,1.30E-10,6.27E-11,,,,,,,1.10E-09,1.30E-10,6.27E-11,,,,
,,,,,,,,,,,9.22E-10,1.12E-10,5.43E-11,,,,,,,9.22E-10,1.12E-10,5.43E-11,,,,
,,,,,,,,,,,7.74E-10,9.69E-11,4.70E-11,,,,,,,7.74E-10,9.69E-11,4.70E-11,,,,
,,,,,,,,,,,6.50E-10,8.38E-11,4.06E-11,,,,,,,6.50E-10,8.38E-11,4.06E-11,,,,
,,,,,,,,,,,5.46E-10,7.25E-11,3.52E-11,,,,,,,5.46E-10,7.25E-11,3.52E-11,,,,
,,,,,,,,,,,4.59E-10,6.27E-11,3.04E-11,,,,,,,4.59E-10,6.27E-11,3.04E-11,,,,
,,,,,,,,,,,3.86E-10,5.42E-11,2.63E-11,,,,,,,3.86E-10,5.42E-11,2.63E-11,,,,
,,,,,,,,,,,3.24E-10,4.69E-11,2.28E-11,,,,,,,3.24E-10,4.69E-11,2.28E-11,,,,
,,,,,,,,,,,2.72E-10,4.05E-11,1.97E-11,,,,,,,2.72E-10,4.05E-11,1.97E-11,,,,
,,,,,,,,,,,2.29E-10,3.50E-11,1.71E-11,,,,,,,2.29E-10,3.50E-11,1.71E-11,,,,
,,,,,,,,,,,1.92E-10,3.03E-11,1.48E-11,,,,,,,1.92E-10,3.03E-11,1.48E-11,,,,
,,,,,,,,,,,1.61E-10,2.62E-11,1.28E-11,,,,,,,1.61E-10,2.62E-11,1.28E-11,,,,
,,,,,,,,,,,1.36E-10,2.27E-11,1.11E-11,,,,,,,1.36E-10,2.27E-11,1.11E-11,,,,
,,,,,,,,,,,1.14E-10,1.96E-11,9.58E-12,,,,,,,1.14E-10,1.96E-11,9.58E-12,,,,
