i,S,V,Ip,Im,Rs,Rv,P,I (A=0.10),I (A=0.50),I (A=0.90),,,I (A = 0.10),I (A = 0.50),I (A = 0.90),,,,,,,Ip(e1 = 0.10),Ip(e1 = 0.50),Ip(e1 = 0.90),,Im(e1 = 0.10),Im(e1 = 0.50),Im(e1 = 0.90)
75,1.04E-05,0.0431518,3.71E-09,2.97E-06,0.275564,0.681271,0.956835,0.000231689,0.00133305,0.0018188,,,0.000103585,0.000912027,0.00173082,,,,,,,2.02E-07,0.00429775,9.42E-11,,6.51E-10,1.58E-08,8.95E-08
76,9.34E-06,0.0431528,2.74E-09,2.43E-06,0.275564,0.681271,0.956835,0.00020184,0.00118616,0.00161769,,,8.89E-05,0.000808462,0.00153956,,,,,,,1.55E-07,0.00388728,7.44E-11,,5.18E-10,1.30E-08,7.74E-08
77,8.40E-06,0.0431536,2.03E-09,1.99E-06,0.275564,0.681272,0.956836,0.000175835,0.00105539,0.0014387,,,7.64E-05,0.000716631,0.00136934,,,,,,,1.19E-07,0.00351464,5.87E-11,,4.12E-10,1.07E-08,6.70E-08
78,7.56E-06,0.0431544,1.50E-09,1.63E-06,0.275564,0.681272,0.956836,0.000153179,0.000938984,0.00127943,,,6.56E-05,0.000635209,0.00121786,,,,,,,9.12E-08,0.0031766,4.63E-11,,3.28E-10,8.87E-09,5.80E-08
79,6.81E-06,0.0431551,1.11E-09,1.34E-06,0.275564,0.681272,0.956837,0.000133441,0.000835383,0.00113771,,,5.63E-05,0.000563021,0.00108307,,,,,,,7.01E-08,0.00287016,3.65E-11,,2.61E-10,7.32E-09,5.02E-08
80,6.13E-06,0.0431558,8.18E-10,1.10E-06,0.275564,0.681273,0.956837,0.000116246,0.000743182,0.00101164,,,4.83E-05,0.000499024,0.000963151,,,,,,,5.38E-08,0.00259253,2.88E-11,,2.07E-10,6.04E-09,4.34E-08
,,,,,,,,0.000101266,0.000661134,0.000899496,,,4.15E-05,0.000442291,0.000856467,,,,,,,,,,,,,
,,,,,,,,8.82E-05,0.000588124,0.000799747,,,3.56E-05,0.000392,0.000761569,,,,,,,,,,,,,
,,,,,,,,7.68E-05,0.000523163,0.000711032,,,3.06E-05,0.000347421,0.00067716,,,,,,,,,,,,,
,,,,,,,,6.69E-05,0.000465365,0.000632136,,,2.63E-05,0.000307906,0.000602087,,,,,,,,,,,,,
,,,,,,,,5.83E-05,0.000413943,0.000561977,,,2.25E-05,0.000272882,0.000535322,,,,,,,,,,,,,
,,,,,,,,5.08E-05,0.000368195,0.000499592,,,1.94E-05,0.000241839,0.000475947,,,,,,,,,,,,,
,,,,,,,,4.43E-05,0.000327498,0.000444121,,,1.66E-05,0.000214324,0.000423148,,,,,,,,,,,,,
,,,,,,,,3.85E-05,0.000291294,0.0003948,,,1.43E-05,0.000189938,0.000376199,,,,,,,,,,,,,
,,,,,,,,3.36E-05,0.000259089,0.00035095,,,1.22E-05,0.000168326,0.000334453,,,,,,,,,,,,,
,,,,,,,,2.93E-05,0.000230442,0.000311965,,,1.05E-05,0.000149171,0.000297334,,,,,,,,,,,,,
,,,,,,,,2.55E-05,0.000204959,0.000277307,,,9.03E-06,0.000132195,0.000264331,,,,,,,,,,,,,
,,,,,,,,2.22E-05,0.000182293,0.000246495,,,7.75E-06,0.000117151,0.000234989,,,,,,,,,,,,,
,,,,,,,,1.93E-05,0.000162132,0.000219105,,,6.65E-06,0.000103818,0.000208901,,,,,,,,,,,,,
,,,,,,,,1.68E-05,0.0001442,0.000194756,,,5.71E-06,9.20E-05,0.000185707,,,,,,,,,,,,,
,,,,,,,,1.47E-05,0.00012825,0.000173111,,,4.90E-06,8.15E-05,0.000165087,,,,,,,,,,,,,
,,,,,,,,1.28E-05,0.000114063,0.000153871,,,4.21E-06,7.22E-05,0.000146756,,,,,,,,,,,,,
,,,,,,,,1.11E-05,0.000101446,0.000136768,,,3.61E-06,6.40E-05,0.000130459,,,,,,,,,,,,,
,,,,,,,,9.70E-06,9.02E-05,0.000121565,,,3.10E-06,5.67E-05,0.000115971,,,,,,,,,,,,,
,,,,,,,,8.45E-06,8.02E-05,0.000108051,,,2.66E-06,5.03E-05,0.000103091,,,,,,,,,,,,,
,,,,,,,,7.36E-06,7.14E-05,9.60E-05,,,2.28E-06,4.46E-05,9.16E-05,,,,,,,,,,,,,
